Folder,File,TP,FP,FN,Precision,Recall,F1-Score
Azimutal_tests,azimutal_separability_2.0m.json,2,1,0,0.667,1.0,0.8
Azimutal_tests,azimutal_separability_2.1m.json,2,1,0,0.667,1.0,0.8
Azimutal_tests,azimutal_separability_2.2m.json,2,1,0,0.667,1.0,0.8
Azimutal_tests,azimutal_separability_2.3m.json,2,0,0,1.0,1.0,1.0
Azimutal_tests,azimutal_separability_2.4m.json,2,0,0,1.0,1.0,1.0
Azimutal_tests,azimutal_separability_2.5m.json,2,0,0,1.0,1.0,1.0
Azimutal_tests,azimutal_separability_2.6m.json,2,0,0,1.0,1.0,1.0
Azimutal_tests,azimutal_separability_2.7m.json,2,0,0,1.0,1.0,1.0
Azimutal_tests,azimutal_separability_2.8m.json,2,0,0,1.0,1.0,1.0
Azimutal_tests,azimutal_separability_2.9m.json,2,0,0,1.0,1.0,1.0
Azimutal_tests,azimutal_separability_3.0m.json,2,0,0,1.0,1.0,1.0
Azimutal_tests,azimutal_separability_3.1m.json,2,0,0,1.0,1.0,1.0
Azimutal_tests,azimutal_separability_3.2m.json,2,0,0,1.0,1.0,1.0
Azimutal_tests,azimutal_separability_3.3m.json,2,1,0,0.667,1.0,0.8
Azimutal_tests,azimutal_separability_3.4m.json,2,0,0,1.0,1.0,1.0
Azimutal_tests,azimutal_separability_3.5m.json,2,0,0,1.0,1.0,1.0
Azimutal_tests,[TOTAL],32,4,0,0.889,1.0,0.941
Radial_tests,radial_test_100m.json,0,0,2,0.0,0.0,0.0
Radial_tests,radial_test_10m.json,2,1,0,0.667,1.0,0.8
Radial_tests,radial_test_20m.json,2,2,0,0.5,1.0,0.667
Radial_tests,radial_test_30m.json,2,1,0,0.667,1.0,0.8
Radial_tests,radial_test_40m.json,1,1,1,0.5,0.5,0.5
Radial_tests,radial_test_50m.json,1,1,1,0.5,0.5,0.5
Radial_tests,radial_test_60m.json,0,0,2,0.0,0.0,0.0
Radial_tests,radial_test_70m.json,0,1,2,0.0,0.0,0.0
Radial_tests,radial_test_80m.json,0,0,2,0.0,0.0,0.0
Radial_tests,radial_test_90m.json,0,0,2,0.0,0.0,0.0
Radial_tests,[TOTAL],8,7,12,0.533,0.4,0.457
Trajectory_tests,trajectory_test_0.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_1.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_10.json,1,0,0,1.0,1.0,1.0
Trajectory_tests,trajectory_test_11.json,1,1,0,0.5,1.0,0.667
Trajectory_tests,trajectory_test_12.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_13.json,1,1,0,0.5,1.0,0.667
Trajectory_tests,trajectory_test_14.json,1,1,0,0.5,1.0,0.667
Trajectory_tests,trajectory_test_15.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_16.json,0,1,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_17.json,0,1,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_18.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_19.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_2.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_20.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_21.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_22.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_23.json,0,1,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_24.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_25.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_26.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_27.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_28.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_29.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_3.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_4.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_5.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_6.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_7.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_8.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,trajectory_test_9.json,0,0,1,0.0,0.0,0.0
Trajectory_tests,[TOTAL],4,6,26,0.4,0.133,0.2
